연번,지적건명,지적내용,처분사항
1,상근이사 급여 지급 부적정,"- 학교법인 명지학원은 2017. 2. 결산일 기준 수입사업 회계의 부채 (1,882억 상당) 가 자산 (1,852억 상당) 을 초과 하여 30억 상당의 자본이 잠식되어 있었으며 국세 체납액이 780억 4,428만원에 달하여 학교법인의 계좌가 과세 당국에 압류되어있음에도, 2017. 6. 26. 학교법인 이사회에서 A을(를) 상근이사로 선출하면서 이사장에 게 보수 결정을 위임한 의결 사항에 대해, 이사장은 위 A에게 보수 결정을 재위임하여 A의 전결로 본인의 급 여를 월 1,000만원으로 책정하여 근로계약을 체결하게 하고, 위 A은(는) 2017. 9.부터 2019....",경고(2명) 감사결과 처분서 기관명 : 학교법인 명지학원
2,법인 직원 특별채용 부당,"- 학교법인 명지학원은 2019. 11. 1. 사전 충원계획 없이 C을(를) 법인사무국 9급으로, 2020. 1. 13. 사전 충원 계획 없이 A을(를) 법인사무국 2급으로 특별채용하고, 각각 특별채용일과 같은 날 위 C와(과) A을(를) ◨◨ 대학에 전보함으로써 학교의 장의 제청, 학교의 대 상자에 대한 검토 및 직원인사위원회의 심의 등을 회피한",경징계(2명); 경고(2명) 감사결과 처분서 기관명 : 학교법인 명지학원
3,학교발전기부금 법인회계 세입처리 부적정,"- 학교법인 명지학원은 2018. 11. 6. □□이(가) 학생증 카드시스템 유지 보수 목적으로 기부한 131,360천원을 법인회계에 세입처리하는 등【붙임】“학교발전기부금 법인회계 세입처리 현황”과 같이 2018.부터 2020. 5. 까지 총 2차례에 걸쳐 □□이(가) 학생증 카드시스템 유지보수 목적으로 기부한 합계 257,247천원을 법인 회계에 세입처리한","경고(4명); 시정 - 법인회계에서 세입 처리한 학교발전 기 부 금 합 계 257,247 천 원 을 교 비 회계로 전출하기 바람 【붙임】 학교발전기부금 법인회계 세입처리 현황 (단위 : 천원) 연번 기부일자 기부자 기부금액 비 고 1 2018.11.6. - 131,360 학생증 카드시스템 유지 보수 2 2020.5.29. 125,887 합 계 257,247 감사결과 처분서 기관명 : 학교법인 명지학원"
4,소송비용 확정 미신청,"- 학교법인 명지학원은 2018. 12. 28. △△이(가) 학교법 인 명지학원을 상대로 제기한 ‘ㄱ’ 소송에서 승소가 확정되었고, 이에 대한 소송비용 16,500천원을 법인 회계에서 집행하였음에도 2021. 11. 감사일 현재까지 소송비용 확정 신청을 하지 않은","주의(3명); 통보 - ‘ㄱ’ 소송의 소송 비용 확정 신청을 하고 소송 상대방 으 로 부 터 해 당 금 원 을 지 급 받 기 바 람 【붙임】 소송비용 확정 미신청 현황 (단위 : 천원) 소 송 명 원 고 피 고 소송 내역 판 결 (판결일) 소송비용 (변호사비용) - - 학교법인 명지학원 - 1심 : 원고 패 (2016.8.17.) 2심 : 원고 패 (2017.10.12.) 3심 : 원고 패 (2018.12.28.) 16,500 감사결과 처분서 기관명 : 명지대학교"
5,임용 결격사유 및 성범죄경력 미조회,"- 명지대학교는 2018학년도 1학기 ▷▷학과 교원 모집 단위 응시자인 E을(를) 결격사유 조회결과 회신 없이 교원으로 임용하는 등【붙임1】“결격사유 조회 미실시 현황”과 같이 2018학년도 1학기부터 2021학년도 2학기 까지 위 E 등 81명에 대한 결격사유 조회결과 회신 없이 교원으로 임용한 사실이 있고, - 2018학년도 2학기 ▽▽학과 교원 모집단위 응시자인 F을(를) 성범죄경력 조회결과 회신 없이 교원으로 임용하는 등【붙임2】“성범죄경력 조회 미실시 현황”과 같이 2018학년도 1학기부터 2021학년도 2학기까지 위 F 등 20명에 대한 성범죄경력 조회 없...",기관경고; 통보 - 결격사유 및 성 범죄경력 미조회 자에 대한 조회를 실시하고 조회 결과에 따라 처리 하기 바람
6,교원 복무규정 위반,- 명지대학교 ◁◁학과 H의 경우 2018년 1학기 학기 중 기타출장이 총 14일을 초과하는 등【붙임】“복무규정 위반 출장 현황”과 같이 2018. 4. 10.부터 2020. 12. 12. 까지 위 H 등 교원 15명은 18회에 걸쳐 1회 5일을 초과하거나 학기당 14일을 초과하는 등 명지대학교 교직원 복무규정을 위반하여 출장복무 처리한 사실 이 있음 ◦기관경고 【붙임】 복무규정 위반 출장 현황 연번 소 속 직급 성명 출장목적 출장기간 출장종류 출장일수 (휴일제외) 위반 사항 1 - - - - 2018.04.10 ~ 2018.04.22 기타출장 (기타) 9 5일 초과...,"교원 복무규정 위반; 사립학교법 제55조에 따르면 사립학교 교원의 복무는 국립학교·공립학교 교원에 관한 규정을 준용하도록 되어 있고, 국립학교·공립학교 교원에게 적용되는 국가 공무원법 제58조에 따르면 교원은 소속 상관의 허가 또는 정당한 사유가 없으면 직장을 이탈하지 못한다고 되어 있으며, 명지대학교 교직원 복무규정 제10조에 따르면 출장은 공무출장과 기타출장으로 나뉘고, 동 규정 제12조 및 명지대학교 교원 복무에 관한 내규 제8조에 따르면 교원의 학기 중 기타출장은 1회 5일, 학기당 총 14일을 초과할 수 없다고 되어 있는데도, - 명지대학교 ◁◁학과 H의 경우 2018년 1학기 학기 중 기타출장이 총 14일을 초과하는 등【붙임】“복무규정 위반 출장 현황”과 같이 2018. 4. 10.부터 2020. 12. 12. 까지 위 H 등 교…"
7,외부 심사위원 미위촉,- 명지대학교는 2021. 2학기 ◇◇학과 채용심사과정에서 전공심사에 해당하는 2차 세미나 평가위원을 명지대 학교 교직원으로만 구성하는 등【붙임】“전공심사 외부심사위원 미위촉 현황”과 같이 2018. 1학기부터 2021. 2학기까지 위 ◇◇학과 등 총 138개의 모집단위에 대한 전공심사를 실시하면서 외부위원을 위촉하지 않은,원문 본문 OCR 필요
8,교원 미허가 겸직,- 명지대학교 I은(는) 총장의 허가 없이 ♡♡ 사외이사 겸 감사위원장 (2015.3. ~ 2020.3.) 및 ♤♤ 비상임 이사 (2020.1. ~현재) 직을 겸하는 등【붙임】“미허가 겸직 현황” 과 같이 위 I 등 교수 6명은 총장의 허가 없이 ♡♡ 사외이사 등 외부 직무를 겸직한,경고(1명); 주의(5명)
9,근로기준법 위반한 취업규칙 변경,- 명지대학교는 2016년 특별연구지원비 및 특별학생 지도비를 근로자 과반수의 동의 없이 임의로 삭감하는 등 【붙임】“과반동의 없는 취업규칙 변경 현황”과 같이 2016학년도부터 2021학년도까지 위 특별연구지원비 및 특별학생지도비 수당 삭감 등 총 7건의 불리한 취업 규칙 변경과 관련하여 근로자 과반수의 동의를 받지 않은,기관주의 【붙임】 과반동의 없는 취업규칙 변경 현황 변경사항 변경시기 변경사항 동의 여부 미지급 보수액 (추정) 특별연구지원비 및 특별학생지도비 감액 2016학년도 전년대비 봉급 인상분 및 호봉 승급분의 100%만큼 수당 삭감 × 12.2억 2017학년도 전년대비 봉급인상분 100%만큼 수당 삭감 × 22.4억 2019학년도 전년대비 급여 인상분의 50%만큼 수당 삭감 × 26.5억 2020학년도 전년대비 급여 인상분의 50%만큼 수당 삭감 × 32.9억 보수규정 변경 2017.12.27. 명지학원 보수규정 제3조 ‘봉급이란 공무원 보수규정 별표의 봉급표에 명시된 금액을 말한다’는 규정 후단으로 ‘단 대학은 공무원 보수규정 별표의 봉급표를 참고할 수 있다’는 내용을 신설 × - 연가보상비 제한 2016년 연가 미사용분에 대한 연가보상비 미지…
10,의원면직 제한 사유 조회 누락,- 명지대학교 ♧♧은(는) J(으)로부터 2018. 3. 1.자 의원 면직 신청을 받았음에도 감사원·검찰청 등에 의원면직 제한대상 해당여부 조회를 실시하지 않는 등【붙임】 “의원면직 제한대상 조회 누락 현황”과 같이 2018. 3. 1. 부터 2021. 10. 1.까지 위 J 등 36명에 대한 의원 면직 제한사유 여부에 대한 조회를 누락한 채 의원 면직 처리한,경고
11,직원 임용 시 성범죄경력 및 결격사유 미조회,"- 명지대학교는 2018. 5. 1. K을(를) 일반직으로 신규 채용하면서 임용일로부터 255일 지난 후 결격사유 조회를 실시하는 등【붙임】“성범죄 경력 등 미(지연) 조회 현황”과 같이 2018.부터 2021. 11. 감사일 현재 까지 위 K 등 직원 247명 (일반직 38명, 계약직 209명) 을 신규채용하면서 성범죄 경력 조회를 실시하지 않거나 임용일로부터 짧게는 7일부터 길게는 255일이 지난 후 성범죄 경력 등의 조회를 실시한",기관주의; 통보 - 성범죄 경력 등의 조회를 실시하지 않은 자들에 대해 관련 경력 등을 확 인 하 고 그 결 과 에 따라 조치하기 바람
12,기록물 폐기 절차 미준수,"- 명지대학교 ☆☆팀은 2018. 4. 24. ‘ㄴ’ 등 기록물 29종을 폐기하면서 자체 보존기간이 경과하였다는 이유로 생산부서 의견조회, 기록물관리 전문요원 심사 및 기록물평가심의회 심의를 거치지 아니하는 등【붙임】 “절차 미준수 기록물 폐기현황”과 같이 2018.부터 2021. 11. 감사일 현재까지 위 ☆☆팀 등 10개 부서 는 자체 보존기간이 경과하였다는 이유로 생산부서 의견조회, 기록물관리 전문요원 심사 및 기록물평가 심의회 심의를 거치지 아니하고 14차례에 걸쳐 총 550종의 기록물을 폐기한",기관경고; 통보 - 기록물 폐기 시 관련 심사 및 심의를 거쳐 운영 하는 등 관련 규정을 준수하기 바람
13,시간외 근무수당 수령 부적정,"- 명지대학교 L은(는) 2019. 3. 5. 18:40부터 20:15까지 ●●대학원 ㄷ 수강중으로 시간외 근무가 불가한데도 같은 날 19:00부터 22:00까지의 시간외 근무수당 33,000원을 수령하는 등【붙임】“대학원 수강 중 시간외 근무수당 수령 현황”과 같이 2019. 3.부터 2019. 11. 까지 위 L 등 명지대학교 직원 3명은 대학원 수강중 으로 시간외 근무가 불가한데도 같은 날 동일(중복) 시간의 시간외 근무 총 10건에 대한 수당 합계 308,000원을 수령한","경고(2명); 주의(1명); 시정(회수) - 부당하게 지급된 시간외 근무수당 합계 308,000원을 당사자들로부터 회수하여 관련 회계에 세입조치 하기 바람"
14,외부강의등 미신고,"- 명지대학교 M은(는) 2018. 12. 17.부터 12. 18.까지 ■■ 에서 ‘ㄹ 강연’을 실시하고도 소속기관장에 신고하지 않는 등【붙임1】“외부강의등 미신고 현황”과 같이 2018. 3.부터 2021. 11. 감사일 현재까지 위 M 등 교 원 17명은 총 39건의 외부강의등을 실시하고도 소속 기관장에 신고하지 않은 사실이 있고, <①관련> ◦경고(1명) ◦주의(16명) <②관련> ◦기관주의 ◦통보 - 향후 교직원들의 외부강의 관리에 철 저 를 기 하 기 바 람 연 번 지 적 사 항 처 분 【외부강의등 사례금 미신고】-------------------------...",경고
15,교육용 기본재산 관리 부적정,"- 학교법인 명지학원은 1987. 10. 6. 이사회의 심의·의결을 거치지 아니한 채 서울특별시 ㅂ 소재 토지(32㎡)를 취득 (1997. 4. 29. 사후 심의) 하는 등【붙임】“▶▶ 관련 교육용 기본재산 현황” ‘비고’란 기재와 같이 1987. 부터 2011.까지 총 6차례에 걸쳐 이사회 심의·의결을 거치지 아니한 채 위 ㅂ 소재 토지(32㎡) 등 9개의 교육용 재산을 취득 (미심의 3개, 사후 심의 6개) 한 사실 이 있음 【재산현황 미보고 및 과오보고에 관한 사항】-------② - 또한, 학교법인 명지학원은 1994. 4. 28. 개최한 이사회 에서 서울특별...",통보
16,교육용 기본재산 처분대금 완수 전 소유권 부당 이전,"- 명지대학교 N은(는) 2021. 5. 13. 학교법인 명지학원 및 명지대학교가 ▼▼와(과) 계약한 2개 필지(354㎡), 16개 필지(364,773㎡) 등 교육용 기본재산 총 18개 필지(365,127㎡)에 대한 매매계약을 추진하면서, ▼▼ (으)로부터 계약서 상의 지정일자가 지나도록 계약 금과 잔금을 납부받지도 않았고, 지정일자 (2021. 5. 28.) ◦중징계(해임, 1명) ◦경고(1명) 연 번 지 적 사 항 처 분 이후인 2021. 8. 10. 위 토지 매매대금 합계 43,580백 만원 중 2,000백만원만 교비회계로 납부 (41,580백만원은 미납) 받았...",감사결과 처분서 기관명 : 명지대학교
17,징계위원회 수당 교비회계 집행 부적정,"- 명지대학교는 2018. 8. 22. 학교법인 명지학원 소관인 교원징계위원회 회의 참석수당 (회의일시 : 2018. 6. 28., 2018. 7. 24.) 합계 2,050천원을 교비회계에서 집행하는 등 【붙임】“법인 소관 징계위원회 수당 교비회계 집행 현황”과 같이 2018학년도부터 2021학년도 감사일 현재 까지 위 학교법인 명지학원 소관인 징계위원회 회의 참석 수당 총 8회, 금액 합계 18,350천원을 교비회계 에서 집행한","경고(6명); 시정 - 교비회계에서 지급한 징계위원회 회의 참석수당 합 계 18,350천 원 을 법 인 회 계 에 서 교비회계로 전출 하기 바람 【붙임】 법인 소관 징계위원회 수당 교비회계 집행 현황 (단위 : 원) 연번 회의일시 내 용 지급인원 집행일 금 액 지출과목 1 2018.6.28./ 2018.7.24. - - 2018.8.22. 2,050,000 교원제수당 2 2018.12.26. - - 2019.1.14. 500,000 직원제수당 3 2018.12.27./ 2019.1.28. - - 2019.2.27. 3,200,000 교원제수당 4 2019.2.27./ 2019.3.27. - - 2019.4.12. 3,200,000 교원제수당 5 2019.4.2./ 2019.4.17. - - 2019.5.8. 400,000 직원제수당 6 20…"
18,임대료 보증금 계좌 관리 부적정,"- 명지대학교는 2019. 2. 1.부터 2021. 1. 31.까지 인문 캠퍼스에 입주한 ◀◀(으)로부터 임대보증금 20,000 천원을 납부 받은 후 별도의 계좌로 관리하지 않고 운영비 계좌로 관리하는 등【붙임】“학교시설 임대 보증금 관리 부적정 현황”과 같이 2019. 2.부터 2021. 11. 감사일 현재까지 위 ◀◀ 등 5개 업체가 납부한 임대 보증금 합계 95,040천원을 별도 계좌로 관리하지 않고 운영비 계좌로 관리한",원문 본문 OCR 필요
19,교내연구 수행 부적정,"- 명지대학교 O은(는) 2020. 3. 26. ‘ㅋ 연구’를 교내연구 과제로 교원일반연구비 4,000천원을 수령하고, 2021. 3. 22. 연구가 진행중인 위 연구과제의 연구계획서에 연도만 수정 제출한 후 교내연구비 400만원을 추가로 수령한 사실이 있음 <①관련> ◦경고(1명) ◦통보 - 동일한 연구계획을 제 출 한 O 에 대하여 연구계획 변경 또 는 환수 등 관련 규정에 따라 처리 하기 바람 <②관련> ◦경고(3명) ◦주의(3명) 연 번 지 적 사 항 처 분 연번 학기 신청일 연구과제명 연구시작 연구종료 금액 1 2020-1 2020.03.26. - 2020....",【붙임】 연구실적물 미제출 현황 연번 학 과 직급 성명 구분 연구과제명 연구기간 제출 기한 초과일수 (2021.11.15. 감 사 일 기준) 시작일 종료일 1 - - - 연구년 과제 - 2018.03.01 2019.02.28. 2021.02.28 261 2 - - - 연구년 과제 - 2018.09.01 2019.02.28. 2021.02.28 261 3 - - - 연구년 과제 - 2018.09.01 2019.02.28. 2021.02.28 261 4 - - - 연구년 과제 - 2018.09.01 2019.08.31. 2021.08.31 77 5 - - - 연구년 과제 - 2019.03.01 2019.08.31. 2021.08.31 77 6 - - - 교내 연구비 - 2018.10.01 2019.09.30 2021.09.30 107 감사결과…
